INFO:rescale_gfx.py:Load dds file = qizilbash_cavalry_charging.dds
INFO:rescale_gfx.py:Load dds file = revolt.dds
INFO:rescale_gfx.py:Load dds file = sad_merchant.dds
INFO:rescale_gfx.py:Load dds file = soup_kitchen.dds
INFO:rescale_gfx.py:Load dds file = sultan_and_merchant.dds
INFO:rescale_gfx.py:Load dds file = sultan_wife_vizier.dds
INFO:rescale_gfx.py:Load dds file = three_heirs.dds
INFO:rescale_gfx.py:Load dds file = trade_goods.dds
INFO:rescale_gfx.py:Load dds file = ANGRY_SHAMANS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COSSACK_ESTATE_RAIDERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COSSACK_ESTATE_UPSET_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COSSACK_ESTATE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DHIMMI_ESTATE_UPSET_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DHIMMI_ESTATE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DIET_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FAT_WARRIORS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MIRACLE_MONK_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NOMAD_ESTATE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = RELIGIOUS_MIGRANTS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SENCRATIC_ALTER_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BUDDHISM_BAD_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BUDDHISM_GOOD_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BUDDHISM_LAMA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BUDDHISM_MONASTERY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FREE_CITY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PARLIAMENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PROTESTANT_GREAT_REFORMER_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PROTESTANT_PRINTED_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PROTESTANT_RELIGIOUS_DOUBTS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PROTESTANT_RELIGIOUS_TENSIONS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AZTEC_PYRAMID_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AZTEC_WARRIOR_LIFE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BABY_BORN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CIVIL_WAR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COASTLINE_MAP_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CONQUISTADORS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = END_OF_TIME_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FAMINE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FESTIVAL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FOUNTAIN_OF_YOUTH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GIFTS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GOLDEN_CITY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GREAT_BATTLE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GREAT_MAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GUARDED_TREASURE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = HUIZTILOPOCHTLI_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = HUMAN_SACRIFICE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = HUNTER_GATHERERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = INCA_CITY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = INTI_GOD_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = LOADING_SHIP_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MISSIONARES_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NATIVES_HIGH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NATIVES_LOW_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NOTHING_FOUND_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = REVOLT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SEA_TREASURE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SIERRA_DE_LA_PLATA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SMALLPOX_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRADERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CHINESE_GENERAL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FIREARMS_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GIFTS_TO_EMPEROR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = IKKO_IKKI_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = IMPERIAL_EXAMINATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = IMPERIAL_SEAL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MERITOCRACY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NANBAN_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NEO_CONFUCIANISM_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SENGOKU_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SHOGUNATE_AUTHORITY_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SUFFERING_CHINESE_VILLAGE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRIBUTARY_FLEET_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = URBANISATION_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WOKOU_INCIDENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = 3_SONS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BABBLING_BAFFOON_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CONSORT_DOING_BADLY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COPTIC_CITY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COPTIC_MONASTERY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COURT_INTRIGUE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ECONOMICALLY_TALLANTED_RULER_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ENLIGHTENMENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FETISHIST_FIRE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FEUDALISM_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GLOBAL_TRADE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = KINGS_CHOICE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = KING_DOING_GREAT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MILITARISTICALLY_TALENTED_RULER_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PRINTING_PRESS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = QUEEN_AND_MALE_HEIR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = QUEEN_AT_COUNCIL_TABLE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ROYAL_COUPLE_FUTURE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SWORD_OF_OSMAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRIBES_MEETING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ACCUSATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ADVISOR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ANGRY_MOB_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ASSASSINATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BAD_WITH_MONARCH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BANKRUPTCY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BATTLE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BORDER_TENSION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CITY_DEVELOPMENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CITY_VIEW_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COLONIZATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CONQUEST_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CORRUPTION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COUNTRY_COLLAPSE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COURT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CULTURE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DEATH_OF_HEIR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DIPLOMACY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ECONOMY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = EXPLORERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FAMINE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FARMING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FORT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GOOD_WITH_MONARCH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = KING_SICK_IN_BED_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = LAND_MILITARY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MERCHANTS_TALKING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NEW_HEIR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = OVEREXTENSION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PLAGUE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PRAYING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = REFORM_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = RELIGION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = RELIGIOUS_CONVERSION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = RELIGIOUS_TURMOIL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SHIP_SAILING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SIEGE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SPY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = STREET_SPEECH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WESTERNISATION_eventPicture.dds
